geo,time,na_item,values
AT,2018-04-01,HICP_Electricity,286.11
AT,2018-07-01,HICP_Electricity,287.04
AT,2018-10-01,HICP_Electricity,297.84
AT,2019-01-01,HICP_Electricity,297.32
AT,2019-04-01,HICP_Electricity,298.69
AT,2019-07-01,HICP_Electricity,302.25
AT,2019-10-01,HICP_Electricity,302.61
AT,2020-01-01,HICP_Electricity,316.41
AT,2020-04-01,HICP_Electricity,318
AT,2020-07-01,HICP_Electricity,318.22
AT,2020-10-01,HICP_Electricity,317.88
AT,2021-01-01,HICP_Electricity,333.57
AT,2021-04-01,HICP_Electricity,334.34
AT,2021-07-01,HICP_Electricity,339.19
AT,2021-10-01,HICP_Electricity,352.28
AT,2022-01-01,HICP_Electricity,368.86
AT,2022-04-01,HICP_Electricity,341.39
AT,2022-07-01,HICP_Electricity,405.86
AT,2022-10-01,HICP_Electricity,394.83
AT,2023-01-01,HICP_Electricity,384.87
AT,2023-04-01,HICP_Electricity,356.29
AT,2023-07-01,HICP_Electricity,344.13
AT,2023-10-01,HICP_Electricity,373.35
AT,2024-01-01,HICP_Electricity,381.62
AT,2024-04-01,HICP_Electricity,375.5
AT,2013-01-01,HICP_Diesel,369.7
AT,2013-04-01,HICP_Diesel,359.08
AT,2013-07-01,HICP_Diesel,365.15
AT,2013-10-01,HICP_Diesel,360.51
AT,2014-01-01,HICP_Diesel,355.96
AT,2014-04-01,HICP_Diesel,352.65
AT,2014-07-01,HICP_Diesel,349.52
AT,2014-10-01,HICP_Diesel,333.36
AT,2015-01-01,HICP_Diesel,304.36
AT,2015-04-01,HICP_Diesel,315.33
AT,2015-07-01,HICP_Diesel,296.85
AT,2015-10-01,HICP_Diesel,283.46
AT,2016-01-01,HICP_Diesel,257.93
AT,2016-04-01,HICP_Diesel,275.87
AT,2016-07-01,HICP_Diesel,279.18
AT,2016-10-01,HICP_Diesel,287.92
AT,2017-01-01,HICP_Diesel,301.76
AT,2017-04-01,HICP_Diesel,292.93
AT,2017-07-01,HICP_Diesel,287.48
AT,2017-10-01,HICP_Diesel,303.38
AT,2018-01-01,HICP_Diesel,306.23
AT,2018-04-01,HICP_Diesel,323.54
AT,2018-07-01,HICP_Diesel,332.83
AT,2018-10-01,HICP_Diesel,345.78
AT,2019-01-01,HICP_Diesel,320.87
AT,2019-04-01,HICP_Diesel,328.37
AT,2019-07-01,HICP_Diesel,320.24
AT,2019-10-01,HICP_Diesel,322.83
AT,2020-01-01,HICP_Diesel,310.69
AT,2020-04-01,HICP_Diesel,270.97
AT,2020-07-01,HICP_Diesel,274.35
AT,2020-10-01,HICP_Diesel,271.68
AT,2021-01-01,HICP_Diesel,298.28
AT,2021-04-01,HICP_Diesel,317.03
AT,2021-07-01,HICP_Diesel,333.81
AT,2021-10-01,HICP_Diesel,370.6
AT,2022-01-01,HICP_Diesel,414.96
AT,2022-04-01,HICP_Diesel,505.76
AT,2022-07-01,HICP_Diesel,520.32
AT,2022-10-01,HICP_Diesel,504.69
AT,2023-01-01,HICP_Diesel,452.73
AT,2023-04-01,HICP_Diesel,410.07
AT,2023-07-01,HICP_Diesel,443.81
AT,2023-10-01,HICP_Diesel,453.62
AT,2024-01-01,HICP_Diesel,447.91
AT,2024-04-01,HICP_Diesel,436.14
AT,2013-01-01,HICP_Petrol,354.09
AT,2013-04-01,HICP_Petrol,347.25
AT,2013-07-01,HICP_Petrol,353.59
