"08792: External trade in goods, main figures (NOK million), by trade flow, month and contents"

"trade flow";"month";"Value"
"Exports of ships and oil platforms";"2004M08";860
"Exports of ships and oil platforms";"2004M09";7
"Exports of ships and oil platforms";"2004M10";338
"Exports of ships and oil platforms";"2004M11";82
"Exports of ships and oil platforms";"2004M12";249
"Exports of ships and oil platforms";"2005M01";843
"Exports of ships and oil platforms";"2005M02";131
"Exports of ships and oil platforms";"2005M03";65
"Exports of ships and oil platforms";"2005M04";3408
"Exports of ships and oil platforms";"2005M05";432
"Exports of ships and oil platforms";"2005M06";222
"Exports of ships and oil platforms";"2005M07";1056
"Exports of ships and oil platforms";"2005M08";112
"Exports of ships and oil platforms";"2005M09";1741
"Exports of ships and oil platforms";"2005M10";154
"Exports of ships and oil platforms";"2005M11";227
"Exports of ships and oil platforms";"2005M12";366
"Exports of ships and oil platforms";"2006M01";1237
"Exports of ships and oil platforms";"2006M02";12
"Exports of ships and oil platforms";"2006M03";462
"Exports of ships and oil platforms";"2006M04";845
"Exports of ships and oil platforms";"2006M05";4
"Exports of ships and oil platforms";"2006M06";352
"Exports of ships and oil platforms";"2006M07";943
"Exports of ships and oil platforms";"2006M08";465
"Exports of ships and oil platforms";"2006M09";263
"Exports of ships and oil platforms";"2006M10";1180
"Exports of ships and oil platforms";"2006M11";465
"Exports of ships and oil platforms";"2006M12";1142
"Exports of ships and oil platforms";"2007M01";358
"Exports of ships and oil platforms";"2007M02";236
"Exports of ships and oil platforms";"2007M03";1234
"Exports of ships and oil platforms";"2007M04";637
"Exports of ships and oil platforms";"2007M05";755
"Exports of ships and oil platforms";"2007M06";1019
"Exports of ships and oil platforms";"2007M07";527
"Exports of ships and oil platforms";"2007M08";428
"Exports of ships and oil platforms";"2007M09";2256
"Exports of ships and oil platforms";"2007M10";859
"Exports of ships and oil platforms";"2007M11";352
"Exports of ships and oil platforms";"2007M12";383
"Exports of ships and oil platforms";"2008M01";569
"Exports of ships and oil platforms";"2008M02";856
"Exports of ships and oil platforms";"2008M03";630
"Exports of ships and oil platforms";"2008M04";1591
"Exports of ships and oil platforms";"2008M05";486
"Exports of ships and oil platforms";"2008M06";324
"Exports of ships and oil platforms";"2008M07";1795
"Exports of ships and oil platforms";"2008M08";52
"Exports of ships and oil platforms";"2008M09";1965
"Exports of ships and oil platforms";"2008M10";524
"Exports of ships and oil platforms";"2008M11";1566
"Exports of ships and oil platforms";"2008M12";638
