time,exports_of_goods,exports_of_services,q_2,q_3,q_4,L.exports_of_goods,L.exports_of_services,DL.exports_of_goods,DL.exports_of_services,goods.fitted,services.fitted,goods.fitted.cumsum,services.fitted.cumsum,goods.fitted.level,services.fitted.level
2016-07-01,33629.1,13962,0,1,0,10.423147042556408,9.544094632530348,0.02295916014982069,0.006712061590674168,0.004083678018224769,0.01036795404942337,10.452907664557921,9.557117800463184,34644.96433286751,14145.018625122977
2016-10-01,33082.6,13952.2,0,0,1,10.406762743388802,9.543392480908404,-0.016384299167606642,-7.021516219438695e-4,0.009251400362475216,0.017584844059963623,10.462159064920396,9.574702644523148,34966.96595478479,14395.956456833419
2017-01-01,34278,14233.1,0,0,0,10.442259027952517,9.56332551697161,0.03549628456371501,0.019933036063205734,0.009270053448106705,0.006931761182303872,10.471429118368503,9.58163440570545,35292.61867511819,14496.092447414105
2017-04-01,34880.4,14581.9,1,0,0,10.459680345847069,9.587536312573008,0.017421317894552146,0.02421079560139816,0.005510165528866996,0.010526929336046516,10.47693928389737,9.592161335041498,35487.623607299385,14649.49781534291
2017-07-01,35179.2,14658,0,1,0,10.468210277839695,9.592741540485795,0.008529931992626416,0.005205227912787436,0.004083678018224769,0.007824120257462161,10.481022961915594,9.59998545529896,35632.83994231372,14764.5668178052
2017-10-01,35807.3,14969.6,0,0,1,10.485907062216373,9.613776756949806,0.01769678437667821,0.02103521646401063,0.009251400362475216,0.019394083841009362,10.49027436227807,9.619379539139969,35964.02320302388,15053.706804309042
2018-01-01,36130.6,15192.1,0,0,0,10.494895430701831,9.628530834882254,0.008988368485457698,0.014754077932447984,0.009270053448106705,0.004489999917683218,10.499544415726177,9.623869539057653,36298.961670528966,15121.449916095453
2018-04-01,36834.5,15524.7,1,0,0,10.514190184978363,9.650187582943477,0.01929475427653138,0.021656748061223752,0.005510165528866996,0.007477571285415098,10.505054581255044,9.631347110343068,36499.5270245473,15234.945442393531
2018-07-01,36332.5,15474.4,0,1,0,10.500467936500325,9.646942324587888,-0.013722248478037713,-0.003245258355589087,0.004083678018224769,0.011184953874540035,10.509138259273268,9.642532064217608,36648.88409626656,15406.304137542189
2018-10-01,36963.7,15743.8,0,0,1,10.517691628970235,9.664201915959316,0.01722369246991029,0.01725959137142752,0.009251400362475216,0.015471433930644912,10.518389659635744,9.658003498148252,36989.51080342882,15646.515167163005
2019-01-01,37984.4,16240.9,0,0,0,10.544930828103736,9.69528803089932,0.02723919913350059,0.03108611494000435,0.009270053448106705,0.005625986977046018,10.52765971308385,9.663629485125298,37333.99979433847,15734.79034238434
2019-04-01,37408.4,16289,1,0,0,10.529650557114541,9.698245312357605,-0.015280270989194378,0.0029572814582845552,0.005510165528866996,0.003004160631488046,10.533169878612718,9.666633645756786,37540.28412152224,15782.131254323362
2019-07-01,37693.9,16003.6,0,1,0,10.537253556630942,9.680568975913214,0.007602999516400644,-0.017676336444390373,0.004083678018224769,0.018028945413453523,10.537253556630942,9.68466259117024,37693.90000000003,16069.246855938754
2019-10-01,37142.8,16307,0,0,1,10.52252522247963,9.699349742461278,-0.014728334151312694,0.01878076654806371,-0.029900576211009576,0.020422834224549276,10.507352980419933,9.70508542539479,36583.51398778974,16400.8005294904
2020-01-01,35506.5,15821.6,0,0,0,10.477471057294554,9.669131374007815,-0.04505416518507488,-0.03021836845346293,-0.029881923125378088,-0.001880959615132757,10.477471057294554,9.703204465779656,35506.49999999997,16369.980280946842
2020-04-01,30041.1,11692.3,1,0,0,10.31032172305053,9.366685784471924,-0.16714933424402467,-0.30244558953589085,-0.1671493342440247,-0.30244558953589085,10.31032172305053,9.400758876243765,30041.09999999998,12097.557796867253
2020-07-01,34976.5,13133.6,0,1,0,10.46243168639101,9.482929110980308,0.15210996334048055,0.11624332650838376,0.1521099633404806,0.08673651542733501,10.46243168639101,9.4874953916711,34976.49999999997,13193.708836546743
2020-10-01,36749.6,12651.8,0,0,1,10.511882620228006,9.445554776523169,0.0494509338369955,-0.03737433445713911,0.0546813511193518,-0.03943453193685741,10.517113037510361,9.448060859734243,36942.31930479496,12683.546226297181
2021-01-01,39292.7,9677.8,0,0,0,10.578794029967435,9.17758988171299,0.06691140973942922,-0.26796489481017893,0.05470000420498329,-0.267964894810179,10.571813041715345,9.180095964924064,39019.35334790054,9702.083787987389
2021-04-01,41058.5,14570.8,1,0,0,10.622753158001089,9.586774805025755,0.04395912803365398,0.4091849233127647,0.05094011628574358,0.40918492331276457,10.622753158001089,9.589280888236829,41058.50000000003,14607.361431111061
2021-07-01,41021.4,15051,0,1,0,10.621849160736799,9.619199713152362,-9.03997264289913e-4,0.03242490812660748,-0.011921954764418777,0.03242490812660753,10.61083120323667,9.621705796363436,40571.908743157685,15088.766361466252
2021-10-01,40298.8,15261.1,0,0,1,10.604076970816502,9.633062386119953,-0.017772189920297166,0.013862672967590584,-0.00675423242016833,0.011356589756516062,10.604076970816502,9.633062386119953,40298.79999999998,15261.09999999999
