time,na_item,values,geo
2013-04-01,HICPlocal,99.43666666666668,FR
2013-07-01,HICPlocal,99.48666666666666,FR
2013-10-01,HICPlocal,99.49,FR
2014-01-01,HICPlocal,99.66666666666669,FR
2014-04-01,HICPlocal,100.18333333333334,FR
2014-07-01,HICPlocal,99.97666666666667,FR
2014-10-01,HICPlocal,99.83,FR
2015-01-01,HICPlocal,99.43,FR
2015-04-01,HICPlocal,100.45,FR
2015-07-01,HICPlocal,100.11666666666666,FR
2015-10-01,HICPlocal,100.00666666666666,FR
2016-01-01,HICPlocal,99.47333333333331,FR
2016-04-01,HICPlocal,100.54333333333334,FR
2016-07-01,HICPlocal,100.54333333333334,FR
2016-10-01,HICPlocal,100.66333333333334,FR
2017-01-01,HICPlocal,100.92333333333332,FR
2017-04-01,HICPlocal,101.58,FR
2017-07-01,HICPlocal,101.49666666666668,FR
2017-10-01,HICPlocal,101.88666666666668,FR
2018-01-01,HICPlocal,102.44333333333331,FR
2018-04-01,HICPlocal,103.76,FR
2018-07-01,HICPlocal,104.09,FR
2018-10-01,HICPlocal,104.11333333333332,FR
2019-01-01,HICPlocal,103.90333333333334,FR
2019-04-01,HICPlocal,105.11333333333332,FR
2019-07-01,HICPlocal,105.35333333333334,FR
2019-10-01,HICPlocal,105.41666666666669,FR
2020-01-01,HICPlocal,105.28333333333332,FR
2020-04-01,HICPlocal,105.46333333333332,FR
2020-07-01,HICPlocal,105.73333333333332,FR
2020-10-01,HICPlocal,105.50666666666666,FR
2021-01-01,HICPlocal,106.3,FR
2021-04-01,HICPlocal,107.32333333333332,FR
2021-07-01,HICPlocal,108.06,FR
2021-10-01,HICPlocal,109.02333333333334,FR
2022-01-01,HICPlocal,110.75333333333332,FR
2022-04-01,HICPlocal,113.67,FR
2022-07-01,HICPlocal,115.11,FR
2022-10-01,HICPlocal,116.61,FR
2023-01-01,HICPlocal,118.51,FR
2023-04-01,HICPlocal,120.57333333333332,FR
2023-07-01,HICPlocal,121.42333333333332,FR
2023-10-01,HICPlocal,121.47333333333331,FR
